Number of notes: 758

(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B->, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B->, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B->, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B->, 'P', 'blue')
(<music21.note.Note E>, 'P', 'blue')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note C>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note A>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'd', 'lime')
(<music21.note.Note D>, 'd', 'lime')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note F>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note D>, 'P', 'blue')
(<music21.note.Note B>, 'P', 'blue')
(<music21.note.Note G>, 'P', 'blue')
(<music21.note.Note B>, 'R', 'cyan')
(<music21.note.Note D>, 'R', 'cyan')
(<music21.note.Note F>, 'R', 'cyan')
(<music21.note.Note E>, 'VR', 'yellow')
(<music21.note.Note D>, 'VR', 'yellow')
(<music21.chord.Chord E4 G4 C5>, 'VR', 'yellow')
(<music21.note.Rest 1.25ql>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest 1.75ql>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest half>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 2.75ql>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest dotted-eighth>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest eighth>, 'rest', 'black')
(<music21.note.Rest 1.75ql>, 'rest', 'black')
(<music21.note.Rest 16th>, 'rest', 'black')
(<music21.note.Rest quarter>, 'rest', 'black')
