40.25,1.75,B3
42.0,2.0,G3
42.25,1.75,B3
44.0,2.0,G3
44.25,1.75,B-3
46.0,2.0,G3
46.25,1.75,B-3
48.0,2.0,F3
48.25,1.75,A3
50.0,2.0,F3
50.25,1.75,A3
52.0,2.0,F3
52.25,1.75,G#3
54.0,2.0,F3
54.25,1.75,G#3
56.0,2.0,E3
56.25,1.75,G3
58.0,2.0,E3
58.25,1.75,G3
60.0,2.0,E3
60.25,1.75,F3
62.0,2.0,E3
62.25,1.75,F3
64.0,2.0,D3
64.25,1.75,F3
66.0,2.0,D3
66.25,1.75,F3
68.0,2.0,G2
68.25,1.75,D3
70.0,2.0,G2
70.25,1.75,D3
72.0,2.0,C3
72.25,1.75,E3
74.0,2.0,C3
74.25,1.75,E3
76.0,2.0,C3
76.25,1.75,G3
78.0,2.0,C3
78.25,1.75,G3
80.0,2.0,F2
80.25,1.75,F3
82.0,2.0,F2
82.25,1.75,F3
84.0,2.0,F#2
84.25,1.75,C3
86.0,2.0,F#2
86.25,1.75,C3
88.0,2.0,G#2
88.25,1.75,F3
90.0,2.0,G#2
90.25,1.75,F3
92.0,2.0,G2
92.25,1.75,F3
94.0,2.0,G2
94.25,1.75,F3
96.0,2.0,G2
96.25,1.75,E3
98.0,2.0,G2
98.25,1.75,E3
100.0,2.0,G2
100.25,1.75,D3
102.0,2.0,G2
102.25,1.75,D3
104.0,2.0,G2
104.25,1.75,D3
106.0,2.0,G2
106.25,1.75,D3
108.0,2.0,G2
108.25,1.75,E-3
110.0,2.0,G2
110.25,1.75,E-3
112.0,2.0,G2
112.25,1.75,E3
114.0,2.0,G2
114.25,1.75,E3
116.0,2.0,G2
116.25,1.75,D3
118.0,2.0,G2
118.25,1.75,D3
120.0,2.0,G2
120.25,1.75,D3
122.0,2.0,G2
122.25,1.75,D3
124.0,2.0,C2
124.25,1.75,C3
126.0,2.0,C2
126.25,1.75,C3
128.0,3.75,C2
128.25,3.5,C3
132.0,3.75,C2
132.25,3.5,D3
136.0,2.75,C2
