Number of notes: 758

onset_beats
duration_beats
midi_pitch
ir_symbol

109.5,0.25,60,P
109.75,0.25,66,P
110.0,0.5,0,rest
110.5,0.25,57,P
110.75,0.25,60,P
111.0,0.25,66,P
111.25,0.25,57,P
111.5,0.25,60,P
111.75,0.25,66,P
112.0,0.5,0,rest
112.5,0.25,55,P
112.75,0.25,60,P
113.0,0.25,67,P
113.25,0.25,55,P
113.5,0.25,60,P
113.75,0.25,67,P
114.0,0.5,0,rest
114.5,0.25,55,P
114.75,0.25,60,P
115.0,0.25,67,P
115.25,0.25,55,P
115.5,0.25,60,P
115.75,0.25,67,P
116.0,0.5,0,rest
116.5,0.25,55,P
116.75,0.25,60,P
117.0,0.25,65,P
117.25,0.25,55,P
117.5,0.25,60,P
117.75,0.25,65,P
118.0,0.5,0,rest
118.5,0.25,55,P
118.75,0.25,60,P
119.0,0.25,65,P
119.25,0.25,55,P
119.5,0.25,60,P
119.75,0.25,65,P
120.0,0.25,0,rest
120.25,0.25,0,rest
120.5,0.25,55,P
120.75,0.25,59,P
121.0,0.25,65,P
121.25,0.25,55,P
121.5,0.25,59,P
121.75,0.25,65,P
122.0,0.25,0,rest
122.25,0.25,0,rest
122.5,0.25,55,P
122.75,0.25,59,P
123.0,0.25,65,P
123.25,0.25,55,P
123.5,0.25,59,P
123.75,0.25,65,P
124.0,0.5,0,rest
124.5,0.25,55,P
124.75,0.25,58,P
125.0,0.25,64,P
125.25,0.25,55,P
125.5,0.25,58,P
125.75,0.25,64,P
126.0,0.5,0,rest
126.5,0.25,55,P
126.75,0.25,58,P
127.0,0.25,64,P
127.25,0.25,55,P
127.5,0.25,58,P
127.75,0.25,64,P
128.0,0.5,0,rest
128.5,0.25,53,P
128.75,0.25,57,P
129.0,0.25,60,P
129.25,0.25,65,P
129.5,0.25,60,P
129.75,0.25,57,P
130.0,0.25,60,P
130.25,0.25,57,P
130.5,0.25,53,P
130.75,0.25,57,P
131.0,0.25,53,P
131.25,0.25,50,P
131.5,0.25,53,d
131.75,0.25,50,d
132.0,0.5,0,rest
132.5,0.25,67,P
132.75,0.25,71,P
133.0,0.25,74,P
133.25,0.25,77,P
133.5,0.25,74,P
133.75,0.25,71,P
134.0,0.25,74,P
134.25,0.25,71,P
134.5,0.25,67,P
134.75,0.25,71,R
135.0,0.25,62,R
135.25,0.25,65,R
135.5,0.25,64,VR
135.75,0.25,62,VR
136.0,2.75,72,VR
138.75,1.25,0,rest
140.0,2.0,0,rest
142.0,0.75,0,rest
142.75,0.25,0,rest
143.0,1.0,0,rest
144.0,0.5,0,rest
144.5,1.75,0,rest
146.25,0.25,0,rest
146.5,1.0,0,rest
